long,lat,order,hole,piece,id,group
445567.48793083,521492.15713202,240,FALSE,1,E06000004,E06000004.1
447419.17815701,520539.68233921,241,FALSE,1,E06000004,E06000004.1
447794.58177456,519895.39850061,242,FALSE,1,E06000004,E06000004.1
447640.57307155,519701.86637077,243,FALSE,1,E06000004,E06000004.1
447497.99314003,519522.69611196,244,FALSE,1,E06000004,E06000004.1
447007.29099758,519333.72415795,245,FALSE,1,E06000004,E06000004.1
446260.92261537,519046.29384584,246,FALSE,1,E06000004,E06000004.1
446550.51744087,519068.19062731,247,FALSE,1,E06000004,E06000004.1
446774.82034998,518641.20050758,248,FALSE,1,E06000004,E06000004.1
447266.62109521,518147.70900631,249,FALSE,1,E06000004,E06000004.1
446917.6348478,517303.29990142,250,FALSE,1,E06000004,E06000004.1
446913.23197068,517293.59238531,251,FALSE,1,E06000004,E06000004.1
446334.42733719,515899.03994083003,252,FALSE,1,E06000004,E06000004.1
446419.01903784,515045.50895164,253,FALSE,1,E06000004,E06000004.1
446752.61931903,513851.48249368,254,FALSE,1,E06000004,E06000004.1
447757.62433372,513275.80951163,255,FALSE,1,E06000004,E06000004.1
449637.6284228,513047.76722293,256,FALSE,1,E06000004,E06000004.1
449674.13232916,512583.67929194,257,FALSE,1,E06000004,E06000004.1
449165.33130733,512079.16947377,258,FALSE,1,E06000004,E06000004.1
448236.4323047,512008.04724013,259,FALSE,1,E06000004,E06000004.1
448461.33574618,511640.36481435,260,FALSE,1,E06000004,E06000004.1
448205.44061855,510473.57266086,261,FALSE,1,E06000004,E06000004.1
447092.33690164,510880.43772196,262,FALSE,1,E06000004,E06000004.1
446119.44059749,510526.01082911,263,FALSE,1,E06000004,E06000004.1
446312.05000874,509943.52215864,264,FALSE,1,E06000004,E06000004.1
445995.04411806,510019.40789508,265,FALSE,1,E06000004,E06000004.1
445436.75567957,509168.60278042,266,FALSE,1,E06000004,E06000004.1
445249.25277483,509453.79052631,267,FALSE,1,E06000004,E06000004.1
444607.1559192,509319.26818812,268,FALSE,1,E06000004,E06000004.1
444275.86791419,508750.96786473,269,FALSE,1,E06000004,E06000004.1
442643.58614175,507840.34844761,270,FALSE,1,E06000004,E06000004.1
442551.68363957,508757.83986277,271,FALSE,1,E06000004,E06000004.1
441801.00294813,508808.54483372,272,FALSE,1,E06000004,E06000004.1
441294.31749423,508027.94274181,273,FALSE,1,E06000004,E06000004.1
440760.12811617,508730.3386475,274,FALSE,1,E06000004,E06000004.1
440606.32495101,509859.5444129,275,FALSE,1,E06000004,E06000004.1
440893.81574674,510267.54022223,276,FALSE,1,E06000004,E06000004.1
440191.33901904,511142.45569612,277,FALSE,1,E06000004,E06000004.1
440064.83593724,510391.0511099,278,FALSE,1,E06000004,E06000004.1
439289.95820763,510205.55612287,279,FALSE,1,E06000004,E06000004.1
439013.2625416,511005.75917873,280,FALSE,1,E06000004,E06000004.1
438502.67377968,511072.36242199,281,FALSE,1,E06000004,E06000004.1
438148.78394516,509251.74406392,282,FALSE,1,E06000004,E06000004.1
436894.11179735,509492.8511812,283,FALSE,1,E06000004,E06000004.1
437247.90030567,510088.25612788,284,FALSE,1,E06000004,E06000004.1
436706.31724315,510385.86218662,285,FALSE,1,E06000004,E06000004.1
436670.81296534,510966.15820404,286,FALSE,1,E06000004,E06000004.1
437325.59785534,511854.97101208,287,FALSE,1,E06000004,E06000004.1
437087.90182385,513234.46999465,288,FALSE,1,E06000004,E06000004.1
437444.29602932,513483.27169146,289,FALSE,1,E06000004,E06000004.1
437477.99149829,514109.77482994,290,FALSE,1,E06000004,E06000004.1
436599.60128274,514845.17019958,291,FALSE,1,E06000004,E06000004.1
436034.61849868,514775.36760837,292,FALSE,1,E06000004,E06000004.1
435714.31873182,515438.36650159,293,FALSE,1,E06000004,E06000004.1
436086.21351672,515616.06476817,294,FALSE,1,E06000004,E06000004.1
435880.01550856,515912.66496732,295,FALSE,1,E06000004,E06000004.1
436160.01005635,516567.95855813,296,FALSE,1,E06000004,E06000004.1
435879.00366807,517965.74050118,297,FALSE,1,E06000004,E06000004.1
437145.06936669,518766.65635874,298,FALSE,1,E06000004,E06000004.1
438160.55752993,519002.57036234,299,FALSE,1,E06000004,E06000004.1
437797.25694794,520224.77225742,300,FALSE,1,E06000004,E06000004.1
438395.62105153,522221.56409148,301,FALSE,1,E06000004,E06000004.1
437350.92680924,523258.74420112,302,FALSE,1,E06000004,E06000004.1
436838.44685789,522390.24751032,303,FALSE,1,E06000004,E06000004.1
436387.26217463,522355.44286543,304,FALSE,1,E06000004,E06000004.1
435575.75751833,523419.42772137,305,FALSE,1,E06000004,E06000004.1
